Date,Temperature,Site,month,day,year,DayOfYear
6/3/2004,10.79114583,Anchor,6,3,2004,155
6/4/2004,12.02927083,Anchor,6,4,2004,156
6/5/2004,12.565,Anchor,6,5,2004,157
6/6/2004,13.62770833,Anchor,6,6,2004,158
6/7/2004,13.08479167,Anchor,6,7,2004,159
6/8/2004,11.405,Anchor,6,8,2004,160
6/9/2004,10.25708333,Anchor,6,9,2004,161
6/10/2004,10.361875,Anchor,6,10,2004,162
6/11/2004,10.99604167,Anchor,6,11,2004,163
6/12/2004,11.86302083,Anchor,6,12,2004,164
6/13/2004,11.8496875,Anchor,6,13,2004,165
6/14/2004,12.478125,Anchor,6,14,2004,166
6/15/2004,11.021875,Anchor,6,15,2004,167
6/16/2004,9.9428125,Anchor,6,16,2004,168
6/17/2004,10.485,Anchor,6,17,2004,169
6/18/2004,11.91145833,Anchor,6,18,2004,170
6/19/2004,13.86614583,Anchor,6,19,2004,171
6/20/2004,15.59375,Anchor,6,20,2004,172
6/21/2004,16.2303125,Anchor,6,21,2004,173
6/22/2004,15.72604167,Anchor,6,22,2004,174
6/23/2004,15.71510417,Anchor,6,23,2004,175
6/24/2004,16.68875,Anchor,6,24,2004,176
6/25/2004,16.82447917,Anchor,6,25,2004,177
6/26/2004,17.75572917,Anchor,6,26,2004,178
6/27/2004,15.98229167,Anchor,6,27,2004,179
6/28/2004,14.64958333,Anchor,6,28,2004,180
6/29/2004,14.11604167,Anchor,6,29,2004,181
6/30/2004,14.98895833,Anchor,6,30,2004,182
7/1/2004,13.88510417,Anchor,7,1,2004,183
7/2/2004,13.23260417,Anchor,7,2,2004,184
7/3/2004,13.75104167,Anchor,7,3,2004,185
7/4/2004,14.08229167,Anchor,7,4,2004,186
7/5/2004,15.1071875,Anchor,7,5,2004,187
7/6/2004,16.37447917,Anchor,7,6,2004,188
7/7/2004,17.37083333,Anchor,7,7,2004,189
7/8/2004,18.21416667,Anchor,7,8,2004,190
7/9/2004,18.44197917,Anchor,7,9,2004,191
7/10/2004,18.11958333,Anchor,7,10,2004,192
7/11/2004,18.47625,Anchor,7,11,2004,193
7/12/2004,18.584375,Anchor,7,12,2004,194
7/13/2004,17.25979167,Anchor,7,13,2004,195
7/14/2004,15.97885417,Anchor,7,14,2004,196
7/15/2004,16.01145833,Anchor,7,15,2004,197
7/16/2004,16.82135417,Anchor,7,16,2004,198
7/17/2004,15.18822917,Anchor,7,17,2004,199
7/18/2004,14.89104167,Anchor,7,18,2004,200
7/19/2004,15.29197917,Anchor,7,19,2004,201
7/20/2004,14.6421875,Anchor,7,20,2004,202
7/21/2004,14.4628125,Anchor,7,21,2004,203
7/22/2004,13.89416667,Anchor,7,22,2004,204
7/23/2004,13.78697917,Anchor,7,23,2004,205
7/24/2004,14.54916667,Anchor,7,24,2004,206
7/25/2004,13.95458333,Anchor,7,25,2004,207
7/26/2004,12.86104167,Anchor,7,26,2004,208
7/27/2004,12.35354167,Anchor,7,27,2004,209
7/28/2004,12.56729167,Anchor,7,28,2004,210
7/29/2004,12.525625,Anchor,7,29,2004,211
7/30/2004,13.88322917,Anchor,7,30,2004,212
7/31/2004,13.80395833,Anchor,7,31,2004,213
8/1/2004,14.27822917,Anchor,8,1,2004,214
8/2/2004,15.65614583,Anchor,8,2,2004,215
8/3/2004,15.766875,Anchor,8,3,2004,216
8/4/2004,15.75229167,Anchor,8,4,2004,217
8/5/2004,15.8084375,Anchor,8,5,2004,218
8/6/2004,15.39822917,Anchor,8,6,2004,219
8/7/2004,15.48416667,Anchor,8,7,2004,220
8/8/2004,15.73270833,Anchor,8,8,2004,221
8/9/2004,15.26291667,Anchor,8,9,2004,222
8/10/2004,16.1140625,Anchor,8,10,2004,223
8/11/2004,16.18885417,Anchor,8,11,2004,224
8/12/2004,16.35333333,Anchor,8,12,2004,225
8/13/2004,15.53083333,Anchor,8,13,2004,226
8/14/2004,15.89270833,Anchor,8,14,2004,227
8/15/2004,15.00729167,Anchor,8,15,2004,228
8/16/2004,16.66364583,Anchor,8,16,2004,229
8/17/2004,16.3734375,Anchor,8,17,2004,230
8/18/2004,16.03,Anchor,8,18,2004,231
8/19/2004,15.6334375,Anchor,8,19,2004,232
8/20/2004,15.76270833,Anchor,8,20,2004,233
8/21/2004,15.33854167,Anchor,8,21,2004,234
8/22/2004,14.523125,Anchor,8,22,2004,235
8/23/2004,14.00989583,Anchor,8,23,2004,236
6/1/2005,10.9975,Anchor,6,1,2005,152
6/2/2005,11.3209375,Anchor,6,2,2005,153
6/3/2005,11.75416667,Anchor,6,3,2005,154
6/4/2005,12.75083333,Anchor,6,4,2005,155
6/5/2005,13.45729167,Anchor,6,5,2005,156
6/6/2005,13.31229167,Anchor,6,6,2005,157
6/7/2005,11.5825,Anchor,6,7,2005,158
6/8/2005,10.37145833,Anchor,6,8,2005,159
6/9/2005,10.44364583,Anchor,6,9,2005,160
6/10/2005,11.17885417,Anchor,6,10,2005,161
6/11/2005,11.61854167,Anchor,6,11,2005,162
6/12/2005,12.25583333,Anchor,6,12,2005,163
6/13/2005,12.308125,Anchor,6,13,2005,164
6/14/2005,13.03135417,Anchor,6,14,2005,165
6/15/2005,14.25052083,Anchor,6,15,2005,166
6/16/2005,15.16145833,Anchor,6,16,2005,167
6/17/2005,14.4959375,Anchor,6,17,2005,168
6/18/2005,12.88041667,Anchor,6,18,2005,169
6/19/2005,12.26895833,Anchor,6,19,2005,170
6/20/2005,13.49833333,Anchor,6,20,2005,171
6/21/2005,14.14135417,Anchor,6,21,2005,172
6/22/2005,13.10447917,Anchor,6,22,2005,173
6/23/2005,13.79822917,Anchor,6,23,2005,174
6/24/2005,14.19041667,Anchor,6,24,2005,175
6/25/2005,14.2334375,Anchor,6,25,2005,176
6/26/2005,14.8434375,Anchor,6,26,2005,177
6/27/2005,14.6265625,Anchor,6,27,2005,178
6/28/2005,15.39822917,Anchor,6,28,2005,179
6/29/2005,16.50875,Anchor,6,29,2005,180
6/30/2005,16.355,Anchor,6,30,2005,181
7/1/2005,14.78916667,Anchor,7,1,2005,182
7/2/2005,14.53822917,Anchor,7,2,2005,183
7/3/2005,15.18145833,Anchor,7,3,2005,184
7/4/2005,15.3025,Anchor,7,4,2005,185
7/5/2005,16.50864583,Anchor,7,5,2005,186
7/6/2005,16.38260417,Anchor,7,6,2005,187
7/7/2005,16.9471875,Anchor,7,7,2005,188
7/8/2005,17.18239583,Anchor,7,8,2005,189
7/9/2005,17.335625,Anchor,7,9,2005,190
7/10/2005,17.48416667,Anchor,7,10,2005,191
7/11/2005,16.99979167,Anchor,7,11,2005,192
7/12/2005,15.15010417,Anchor,7,12,2005,193
7/13/2005,14.59645833,Anchor,7,13,2005,194
7/14/2005,14.801875,Anchor,7,14,2005,195
7/15/2005,15.39916667,Anchor,7,15,2005,196
7/16/2005,15.26875,Anchor,7,16,2005,197
7/17/2005,15.91302083,Anchor,7,17,2005,198
7/18/2005,16.424375,Anchor,7,18,2005,199
7/19/2005,15.21791667,Anchor,7,19,2005,200
7/20/2005,16.0071875,Anchor,7,20,2005,201
7/21/2005,16.77302083,Anchor,7,21,2005,202
7/22/2005,16.82958333,Anchor,7,22,2005,203
7/23/2005,15.68916667,Anchor,7,23,2005,204
7/24/2005,15.61739583,Anchor,7,24,2005,205
7/25/2005,14.70166667,Anchor,7,25,2005,206
7/26/2005,13.8828125,Anchor,7,26,2005,207
7/27/2005,13.48666667,Anchor,7,27,2005,208
7/28/2005,13.57145833,Anchor,7,28,2005,209
7/29/2005,14.24645833,Anchor,7,29,2005,210
7/30/2005,13.51697917,Anchor,7,30,2005,211
7/31/2005,14.1078125,Anchor,7,31,2005,212
8/1/2005,13.494375,Anchor,8,1,2005,213
8/2/2005,12.34375,Anchor,8,2,2005,214
8/3/2005,12.05010417,Anchor,8,3,2005,215
8/4/2005,13.33416667,Anchor,8,4,2005,216
8/5/2005,13.82875,Anchor,8,5,2005,217
8/6/2005,14.6009375,Anchor,8,6,2005,218
8/7/2005,14.955,Anchor,8,7,2005,219
8/8/2005,15.235,Anchor,8,8,2005,220
8/9/2005,15.51833333,Anchor,8,9,2005,221
8/10/2005,15.11520833,Anchor,8,10,2005,222
8/11/2005,15.190625,Anchor,8,11,2005,223
8/12/2005,15.7625,Anchor,8,12,2005,224
8/13/2005,15.07166667,Anchor,8,13,2005,225
8/14/2005,14.253125,Anchor,8,14,2005,226
8/15/2005,13.99375,Anchor,8,15,2005,227
8/16/2005,14.266875,Anchor,8,16,2005,228
8/17/2005,13.96447917,Anchor,8,17,2005,229
8/18/2005,13.63927083,Anchor,8,18,2005,230
8/19/2005,14.5071875,Anchor,8,19,2005,231
8/20/2005,14.24072917,Anchor,8,20,2005,232
8/21/2005,14.59666667,Anchor,8,21,2005,233
8/22/2005,12.294375,Anchor,8,22,2005,234
8/23/2005,12.09510417,Anchor,8,23,2005,235
8/24/2005,11.70614583,Anchor,8,24,2005,236
6/1/2006,9.448125,Anchor,6,1,2006,152
6/2/2006,10.1671875,Anchor,6,2,2006,153
6/3/2006,11.77927083,Anchor,6,3,2006,154
6/4/2006,11.49510417,Anchor,6,4,2006,155
6/5/2006,10.71791667,Anchor,6,5,2006,156
6/6/2006,10.9934375,Anchor,6,6,2006,157
6/7/2006,9.891875,Anchor,6,7,2006,158
6/8/2006,9.0775,Anchor,6,8,2006,159
6/9/2006,9.230416667,Anchor,6,9,2006,160
6/10/2006,10.20447917,Anchor,6,10,2006,161
6/11/2006,9.682083333,Anchor,6,11,2006,162
6/12/2006,9.363645833,Anchor,6,12,2006,163
6/13/2006,9.2725,Anchor,6,13,2006,164
6/14/2006,9.746979167,Anchor,6,14,2006,165
6/15/2006,10.1546875,Anchor,6,15,2006,166
6/16/2006,9.9515625,Anchor,6,16,2006,167
6/17/2006,10.010625,Anchor,6,17,2006,168
6/18/2006,9.871041667,Anchor,6,18,2006,169
6/19/2006,9.634270833,Anchor,6,19,2006,170
6/20/2006,10.22895833,Anchor,6,20,2006,171
6/21/2006,10.75145833,Anchor,6,21,2006,172
6/22/2006,10.415,Anchor,6,22,2006,173
6/23/2006,9.603958333,Anchor,6,23,2006,174
